idx,gene
369,BRIP1
370,PCNA
371,TACC3
372,KIF4A
373,TBCE
374,ANKLE2
375,RTTN
376,DHFR
377,MCM3
378,HIST1H2AE
379,RPS18
380,PSME1
381,CRKL
382,NOLC1
383,ATP6AP1
384,KIF14
385,RAD21
386,SMAGP
387,ZFC3H1
388,KDM2A
389,PDRG1
390,PIK3C3
391,CDC20
392,HSP90B1
393,RNMT
394,USP9X
395,MT2A
396,HJURP
397,GABPA
398,CHMP5
399,LRPPRC
400,SETD2
401,MIS18BP1
402,NBAS
403,TUBB
404,HMGN2
405,HIST1H2BN
406,UBC
407,H2AFZ
408,VMP1
409,UTP20
410,BRCA1
411,DDX10
412,CCDC174
413,MVD
414,SNAPC5
415,MCM6
416,REV3L
417,USPL1
418,TM7SF2
419,RSRC2
420,SEC61G
421,KIF20A
422,ANLN
423,ZNF100
424,TAF7
425,CDC45
426,MCM5
427,SPDL1
428,CD3EAP
429,TLN1
430,MCM4
431,KIF23
432,MCL1
433,SYF2
434,RBBP6
435,PFDN2
436,PNN
437,MRPL16
438,MDN1
439,SLBP
440,CDCA8
441,ORC6
442,PPP1R2
443,EPRS
444,RBM39
445,NCAPG
446,BRD8
447,USP37
448,WARS
449,YPEL5
450,CENPA
451,DDX6
452,MYC
453,USP8
454,TUBA1B
455,RNPC3
456,ZNF720
457,HIST2H2AC
458,PSAT1
459,ATF4
460,RFC4
461,DYNLL1
462,POLD3
463,TCP1
464,DKC1
465,HIST1H2BC
466,NRBP1
467,RNF168
468,CDCA5
469,PLK1
470,ARIH1
471,AURKA
472,MMS22L
473,TFRC
474,BPTF
475,COG3
476,ECT2
477,PGPEP1
478,MAT2A
479,BCLAF1
480,TUBA1C
481,DUT
482,TPT1
483,KIF18A
484,BIRC5
485,SNIP1
486,HLA-C
487,HIST1H2BJ
488,RAD9A
489,EIF4B
490,WEE1
491,TOP2A
492,RPL39
493,HYOU1
494,BUD31
495,AURKB
496,ARID3A
497,DDX3X
498,HSPE1
499,CDT1
500,SARS
501,NPM1
502,CAP1
503,CCNA2
504,SCD
505,PAK1IP1
506,NPAT
507,EXOC8
508,RPL7A
509,XRN1
510,PPP1R10
511,RBM22
