PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
WBP11,0.5,0.6,0.5,0.34,0.52,0.6000000000000001
POLR2F,0.44,0.46,0.4,0.56,0.6,0.59
ATP6V1B2,0.38,0.56,0.54,0.66,0.48,0.56
GOLT1B,0.46,0.54,0.6,0.4,0.6,0.6100000000000001
POLR2D,0.42,0.58,0.6,0.6,0.44,0.5900000000000001
RPS15A,0.5,0.52,0.66,0.58,0.6,0.6
ARGLU1,0.58,0.46,0.4,0.56,0.66,0.56
EIF2B4,0.5,0.54,0.58,0.68,0.64,0.71
XPO1,0.52,0.68,0.6,0.44,0.6,0.71
RPL10,0.44,0.54,0.54,0.6,0.7,0.49
COPS4,0.48,0.66,0.66,0.74,0.56,0.59
POLR2E,0.4,0.62,0.7,0.52,0.64,0.61
DHX36,0.54,0.52,0.52,0.4,0.34,0.52
COPS8,0.5,0.56,0.6,0.6,0.6,0.69
SF3B2,0.52,0.56,0.52,0.6,0.56,0.64
ISCA2,0.5,0.64,0.48,0.46,0.48,0.64
RPLP2,0.6,0.52,0.58,0.46,0.46,0.5900000000000001
WDR3,0.66,0.48,0.56,0.56,0.6,0.53
ABCF1,0.62,0.52,0.66,0.44,0.52,0.53
PSMC2,0.5,0.46,0.72,0.5,0.7,0.7
CDK1,0.58,0.5,0.66,0.64,0.64,0.63
SF3B4,0.46,0.4,0.52,0.5,0.62,0.52
PHB2,0.48,0.66,0.66,0.6,0.7,0.61
RPL30,0.44,0.46,0.64,0.72,0.64,0.71
NUMA1,0.44,0.54,0.62,0.52,0.56,0.5900000000000001
DSN1,0.48,0.6,0.62,0.66,0.58,0.62
EIF4E,0.48,0.62,0.62,0.64,0.54,0.62
DNAJC19,0.44,0.62,0.64,0.74,0.6,0.69
RPL37A,0.42,0.5,0.76,0.7,0.62,0.62
RPL10A,0.56,0.58,0.62,0.6,0.54,0.53
RPAP2,0.44,0.68,0.7,0.58,0.68,0.69
HSPA9,0.48,0.52,0.46,0.6,0.68,0.6599999999999999
