PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
NLE1,0.48055587994861615,0.48078944295223636,0.39156837556930985,0.4028961812448908,0.3867803339950952,0.39197711082564524
DYNC1I2,0.46479037720425087,0.4529954455214294,0.45077659698703726,0.4179609949783954,0.46911129277122504,0.40079411421230876
HSPA8,0.4593016466191755,0.41620927245124373,0.4399159173186967,0.4476234964381642,0.4266028261123438,0.38841527502043677
TRRAP,0.48592782903188136,0.46046946163727664,0.4230993810580404,0.4109541048697886,0.42695317061777416,0.41019502510802286
MED11,0.46911129277122504,0.4387481023005956,0.3842111409552727,0.3731168982833119,0.3731168982833119,0.4046479037720425
FCF1,0.4966717271984118,0.5039121803106388,0.40966950834987736,0.4018451477285998,0.4159757094476235,0.4387481023005956
EIF2B2,0.46233796566623847,0.43349293471914047,0.34427186733621395,0.35116197594301063,0.347424967885087,0.3405932500291954
SNRPG,0.47156370430923744,0.45416326053953054,0.37697068784304566,0.38561251897699406,0.38619642648604463,0.3798902253882985
GUCD1,0.4582506131028845,0.43337615321733036,0.43127408618474833,0.399976643699638,0.4240336330725213,0.38368562419712715
MED7,0.47109657830199697,0.44914165596169564,0.34473899334345437,0.33901669975475884,0.3366810697185566,0.34841761065047294
DDX46,0.4760014013780217,0.46479037720425087,0.45112694149246757,0.4740161158472498,0.4889641480789443,0.4409669508349877
LSM5,0.4520611935069485,0.4818404764685274,0.4733154268363891,0.4458717739110125,0.41901202849468644,0.3961228541399042
TRA2B,0.46327221768071936,0.4498423449725564,0.44283545486394954,0.45778348709564404,0.44552142940558215,0.4165596169566741
SON,0.4661917552259722,0.4073338783136751,0.38374401494803223,0.35840242905523767,0.3631904706294523,0.32955739810813967
UBL5,0.45976877262641597,0.4729650823309588,0.4086184748335864,0.43033983417026744,0.38853205652224687,0.3860796449842345
RPL6,0.4823076024757678,0.5062478103468411,0.35688426953170616,0.3553661100081747,0.4266028261123438,0.3902253882984935
RPL21,0.4852271400210207,0.49655494569660164,0.37346724278874227,0.38035735139553895,0.3899334345439682,0.410311806609833
DHX37,0.479388064930515,0.46572462921873176,0.47109657830199697,0.4846432325119701,0.46046946163727664,0.4527618825178092
MED30,0.4703958892911363,0.429872708163027,0.323718323017634,0.3282728015882284,0.3098213243022305,0.3486511736540932
DLD,0.46887772976760483,0.45754992409202383,0.4470395889291136,0.46397290669158003,0.44809062244540465,0.42479271283428705
WDR26,0.46233796566623847,0.45124372299427773,0.4529954455214294,0.48160691346490714,0.47424967885087005,0.4513605044960878
RPL37,0.48160691346490714,0.4966717271984118,0.4430690178675698,0.4256685740978629,0.4037136517575616,0.4350110942426719
PRPF18,0.4549807310522013,0.44914165596169564,0.4564988905757328,0.43571178325353266,0.4435361438748102,0.4085016933317762
