,ptb,mmd,braycurtis,canberra,chebyshev,cityblock,correlation,cosine,euclidean,jensenshannon,minkowski_p1.5,sqeuclidean,mode
0,POLA2,0.22479698061943054,0.9955852038664145,369.6436311449566,4.2806787,566.27734,0.977980300784111,0.9782900754362345,30.963302612304688,inf,79.62278227035824,958.726,train
1,BDP1,0.2080751359462738,0.9985801557556963,364.85296729940154,5.1416707,577.339,1.0100085977464914,1.010228875093162,32.26375961303711,inf,82.15293915428978,1040.9502,train
2,HNRNPC,0.24704423546791077,0.9702034520760178,366.99073918108144,4.4460716,578.7484,0.9833201114088297,0.9836142864078283,32.34143829345703,inf,82.29094022108363,1045.9688,train
3,POLR2D,0.21869421005249023,0.9652213469943417,362.8368520638952,4.2899694,558.1327,0.9743155557662249,0.9742124509066343,30.9091854095459,inf,79.08424006906147,955.3777,train
4,GOLT1B,0.19985875487327576,1.0433696099459135,379.7940446267631,4.524037,575.95166,1.0342733673751354,1.0344019308686256,31.80956268310547,inf,81.43824600932963,1011.84827,train
5,RPL37A,0.23178070783615112,1.0316956194365994,373.19011864445577,4.486651,578.1032,1.0149742355570197,1.0146007016301155,31.86824607849121,inf,81.70668118643476,1015.5851,train
6,RPL34,0.25516027212142944,0.931905397046993,362.84602489316705,4.167697,550.9624,0.9198573157191277,0.9197191894054413,30.498764038085938,inf,78.1332240477807,930.17456,train
7,COPS4,0.211358442902565,1.0165903614942837,363.2469059451005,4.7786818,564.6614,1.0379336327314377,1.0379709750413895,31.776016235351562,inf,80.79381857179114,1009.7152,train
8,EIF2B2,0.23011478781700134,1.0834258459492663,371.53033331013347,6.027437,593.7064,1.0922323614358902,1.0923286154866219,32.98806381225586,inf,84.22886112974231,1088.2124,train
9,RPL32,0.24821151793003082,0.9437910214786355,360.9194714774029,4.388497,549.8471,0.9308240115642548,0.930684931576252,30.419363021850586,inf,77.85042557937845,925.3376,train
10,DDX46,0.20457085967063904,1.0592929295153024,375.9584019306659,4.7770605,581.3645,1.0463229715824127,1.0462517812848091,32.027000427246094,inf,82.08781364539388,1025.7288,train
11,POLR3E,0.19691601395606995,1.0234192102003807,367.7988640823402,4.417364,579.52234,1.0157177112996578,1.015711346641183,31.845937728881836,inf,81.83231558339075,1014.1638,train
12,RPS15A,0.22942234575748444,1.0255941702770224,370.90764114901185,3.8806171,570.7102,1.0079032136127353,1.0078923851251602,31.609359741210938,inf,80.95915102710997,999.15173,train
13,GPS1,0.2041306495666504,0.911089343093717,356.2558299876215,4.183735,535.1817,0.9207248762249947,0.9208529740571976,30.32606315612793,inf,76.80482138421226,919.67004,train
14,HSPA5,0.24147430062294006,1.030426918642536,378.3813317512311,4.5249753,578.56946,1.019255282357335,1.0193353798240423,31.74599266052246,inf,81.44324183984031,1007.80804,train
15,GPN3,0.28359776735305786,0.9507374564775344,360.71877301652034,4.9731975,564.1372,0.9486637376248837,0.9490057937800884,31.056194305419922,inf,79.69243556726782,964.4872,train
16,FCF1,0.26313117146492004,0.9723919774682129,367.5490313845859,3.6385877,584.636,0.9697919189929962,0.9695472978055477,31.906536102294922,inf,82.23818653686224,1018.0271,train
17,NIFK,0.2356472909450531,1.0338305196545043,373.8306252509128,4.091123,586.30023,1.0411082580685616,1.041128322482109,32.2936897277832,inf,82.95694565526821,1042.8823,train
18,RFC3,0.21580925583839417,1.032250866091922,373.3856234219953,4.436776,586.61487,1.014388700015843,1.0143245551735163,32.24002456665039,inf,82.73524182478178,1039.4191,train
19,CDC27,0.19788827002048492,0.9622577890422931,365.96030582966034,4.4399137,565.6002,0.9419261068105698,0.9424246251583099,31.12647819519043,inf,79.77046872616737,968.8577,train
20,DDX24,0.22516487538814545,1.024379373805742,374.33423898784156,4.8250256,566.2053,1.0148642705753446,1.0146721042692661,31.392946243286133,inf,80.14544266374907,985.5171,train
21,SLU7,0.3534349203109741,0.9367889849037906,363.232611765795,5.290282,544.8477,0.9399062730371952,0.9398376606404781,30.53760528564453,inf,77.55151433715517,932.5454,train
22,RPSA,0.22985166311264038,1.0439284567075857,371.56713194101326,4.7463465,594.91455,1.0470162741839886,1.0469048544764519,32.87982177734375,inf,84.18615553473178,1081.0828,train
23,USP39,0.22757217288017273,1.0341133012788117,381.6670405780037,5.0927324,577.3823,1.0266267023980618,1.0263239182531834,31.747100830078125,inf,81.35544981441625,1007.8785,train
