,ptb,mmd,braycurtis,canberra,chebyshev,cityblock,correlation,cosine,euclidean,jensenshannon,minkowski_p1.5,sqeuclidean,mode
0,MED11,0.2592534124851227,0.32691411358697714,149.24332051848097,1.6816785,19.098314,0.7626546025276184,0.7626007795333862,2.5753369331359863,inf,4.409358945286249,6.63236,train
1,NAA38,0.26191914081573486,0.24763274220891487,124.32410755104044,1.2766042,14.344119,0.5383440554141998,0.5383266508579254,1.9504870176315308,inf,3.333537632639901,3.8043995,train
2,POLR3E,0.19004687666893005,0.07763335608087536,66.60641416973934,0.35243124,4.815959,0.04098409414291382,0.04112333059310913,0.555277943611145,inf,0.9906136125583638,0.3083336,train
3,RPS28,0.23569628596305847,0.13012762159960953,92.01513464568318,0.655119,7.8585377,0.15374469757080078,0.153772234916687,1.0051549673080444,inf,1.7383656224234296,1.0103364,train
4,RPS17,0.24665586650371552,0.13737872657107902,95.14463323310436,0.69941425,8.272093,0.17587703466415405,0.17590951919555664,1.0700222253799438,inf,1.8458030857993146,1.1449476,train
5,RPL8,0.24519751965999603,0.1441772256999796,99.29628521716637,0.7261381,8.632458,0.19196099042892456,0.19197624921798706,1.114645004272461,inf,1.926746850501907,1.2424334,train
6,RPL34,0.2403445839881897,0.14857837837863905,101.71778650735067,0.749449,8.883957,0.2033560872077942,0.2033916711807251,1.1454932689666748,inf,1.976965516498962,1.3121549,train
7,UBL5,0.2585110664367676,0.1982995196467295,115.52183660696232,1.0027683,11.610874,0.3631177544593811,0.3631400465965271,1.5346646308898926,inf,2.63544131381598,2.3551958,train
8,SON,0.2285841703414917,0.13548914393743902,95.21081011445554,0.67713296,8.155816,0.1642664670944214,0.16452354192733765,1.036971092224121,inf,1.796266842112148,1.075309,train
9,RPL27A,0.26751360297203064,0.15382373854961237,99.171723284698,0.7940564,9.167196,0.22950810194015503,0.2295328974723816,1.2142716646194458,inf,2.0840462958098094,1.4744556,train
10,UBA1,0.2874663472175598,0.15348876647187704,100.65611478347921,0.77336174,9.15851,0.2189221978187561,0.21897965669631958,1.1867389678955078,inf,2.0482114978759554,1.4083493,train
11,DHX15,0.2663273811340332,0.2988024830204575,139.17052543759257,1.5303795,17.37263,0.686469703912735,0.6864311993122101,2.3451437950134277,inf,4.017556649084025,5.4996996,train
12,MRPS35,0.19747783243656158,0.10626758257537028,80.7710036774649,0.5378303,6.483943,0.0989464521408081,0.09909462928771973,0.8235484957695007,inf,1.427687229194469,0.6782322,train
13,DHX37,0.22074323892593384,0.11788698679667875,86.82863778688002,0.5860558,7.1671786,0.12050670385360718,0.120525062084198,0.8992511630058289,inf,1.563859262533174,0.8086525,train
14,RPL18,0.25468361377716064,0.08067204085939937,68.31581079406067,0.3932039,4.9956303,0.05001211166381836,0.050096094608306885,0.6062218546867371,inf,1.0623086361609646,0.3675049,train
15,TPX2,0.20058369636535645,0.0862232843610809,69.83918483282156,0.42203996,5.3247876,0.05868321657180786,0.058692872524261475,0.6510503888130188,inf,1.140825988373882,0.42386663,train
16,PRPF4B,0.20263531804084778,0.05529877530261853,54.12863148280876,0.24720189,3.482105,0.01814025640487671,0.01814812421798706,0.3819882273674011,inf,0.6905203415577835,0.14591499,train
17,RPL24,0.2378556877374649,0.13861843814342253,94.13674516893388,0.7108525,8.325972,0.18216902017593384,0.18221616744995117,1.0877065658569336,inf,1.8714563747037671,1.1831057,train
18,SUPT5H,0.3935248553752899,0.4154302540166644,165.68406411951298,2.2493691,25.122824,0.9702712185680866,0.9701875951141119,3.4365174770355225,inf,5.868580529084005,11.809652,train
19,USP39,0.21993079781532288,0.17455702853211408,106.95386614229079,0.88349485,10.320541,0.2855706214904785,0.28560662269592285,1.3528095483779907,inf,2.3286687980810687,1.8300934,train
20,BDP1,0.20925527811050415,0.1652564927081306,104.96840041388538,0.8476938,9.791424,0.2625904083251953,0.2626151442527771,1.2969391345977783,inf,2.225716756529815,1.6820513,train
21,CNOT1,0.2799896001815796,0.171048577552068,104.84434454634112,0.8911767,10.107699,0.2885749936103821,0.28861236572265625,1.3607800006866455,inf,2.3287090031123565,1.851722,train
22,RPS3,0.28124475479125977,0.13964569307055888,93.86162832440266,0.7126883,8.377655,0.18323343992233276,0.1832488775253296,1.090541958808899,inf,1.8791581863121292,1.1892817,train
23,GPS1,0.20258967578411102,0.08195789288606144,65.0122956350731,0.40424564,5.065098,0.05333894491195679,0.05343365669250488,0.6245174407958984,inf,1.0924978096411917,0.39002204,train
24,POLD1,0.23081694543361664,0.043824115548839346,45.10339692055136,0.2072205,2.9001598,0.00902467966079712,0.009026706218719482,0.32207876443862915,inf,0.5793563139533099,0.10373473,train
25,PSMD1,0.19968190789222717,0.04941159334904342,50.158430636246266,0.20349309,3.1193779,0.012832403182983398,0.012833058834075928,0.3249714970588684,inf,0.6003192262199006,0.10560647,train
26,SNRPG,0.2213776409626007,0.19533373379044702,112.24600896939802,0.9980836,11.441177,0.36004191637039185,0.36007559299468994,1.5287226438522339,inf,2.620387844122118,2.336993,train
27,CASP8AP2,0.2507381737232208,0.04208579933099091,48.23631856786778,0.16327488,2.7697353,0.006535947322845459,0.0065364837646484375,0.263066828250885,inf,0.5042680176071607,0.06920415,train
28,RPAP2,0.24270811676979065,0.32253005324847456,144.71723972974797,1.6788834,18.837425,0.7579287439584732,0.7578784972429276,2.5613863468170166,inf,4.374977351032331,6.5607004,train
29,GUCD1,0.1987071931362152,0.1776501781820823,106.49654384546832,0.9023201,10.511609,0.29629141092300415,0.29631125926971436,1.379623293876648,inf,2.3729570883503666,1.9033605,train
30,DSN1,0.2149425745010376,0.26866423815245905,131.7418377589434,1.3718108,15.5559025,0.5970113277435303,0.5969898402690887,2.09678053855896,inf,3.587297343445814,4.396488,train
31,NUF2,0.19057223200798035,0.12565743101785593,89.18452552691434,0.64799774,7.594914,0.1494600772857666,0.1494770050048828,0.9921247959136963,inf,1.708336351279373,0.9843115,train
32,SLC39A9,0.19249941408634186,0.02749382328997591,39.62656160214942,0.06689337,1.7608705,0.0017661452293395996,0.0019279718399047852,0.12742879986763,inf,0.2788379512237088,0.016238097,train
33,DHX16,0.24445363879203796,0.24614561802490162,124.34688890268656,1.2651784,14.262199,0.5311512351036072,0.5311374366283417,1.9332762956619263,inf,3.303761440212289,3.7375574,train
34,SF3B2,0.27394798398017883,0.21665049728779837,118.68340765689567,1.1033437,12.607981,0.4293913245201111,0.4294031858444214,1.6895065307617188,inf,2.896332711375173,2.8544328,train
35,WDR26,0.1928044855594635,0.03199332288842037,40.68064434234797,0.10891324,2.041353,0.003700554370880127,0.0037033557891845703,0.17934851348400116,inf,0.35493340890805025,0.032165892,train
36,RFC3,0.21898925304412842,0.03481494238177385,42.67348851711462,0.11829388,2.2779875,0.003955721855163574,0.003955662250518799,0.1992034614086151,inf,0.3957367286680623,0.039682023,train
37,NIP7,0.20769813656806946,0.09289786456548199,76.14937663575658,0.4536879,5.719334,0.06917786598205566,0.06918835639953613,0.7004088163375854,inf,1.2262736637471587,0.49057257,train
38,MED12,0.3388087749481201,0.4025349665123804,163.9415481875089,2.1740642,24.201641,0.9479006491601467,0.9478186219930649,3.3196027278900146,inf,5.66163981341729,11.01976,train
39,SRRT,0.3173936903476715,0.30912327888311464,139.86363128598086,1.610047,18.008068,0.7253389060497284,0.7252927720546722,2.4605443477630615,inf,4.2020849283584685,6.054278,train
40,ABCF1,0.1960688829421997,0.15932041141588402,102.81135456221814,0.8090087,9.487295,0.24023044109344482,0.24025052785873413,1.2420591115951538,inf,2.1379450017380304,1.542711,train
41,PCF11,0.2080814242362976,0.2241859963707514,122.90219529147835,1.151324,13.035639,0.45725440979003906,0.457256555557251,1.7562274932861328,inf,3.001140111044967,3.0843349,train
42,CCT3,0.226228266954422,0.11061947400191818,85.32959009952218,0.5532361,6.7426276,0.10648864507675171,0.10651320219039917,0.8501008749008179,inf,1.4748590912847417,0.7226715,train
43,FAM32A,0.20764775574207306,0.20142923668212565,116.10408118936779,1.0246246,11.772585,0.3776095509529114,0.377621054649353,1.5695873498916626,inf,2.69199178915001,2.4636045,train
44,ARGLU1,0.19996380805969238,0.03933881539991307,46.625138414183965,0.13067189,2.505297,0.005237579345703125,0.00540614128112793,0.21457929909229279,inf,0.4278054355879782,0.046044275,train
45,CHEK1,0.24533328413963318,0.10809587470452287,82.50425330437406,0.5463288,6.5886726,0.1038055419921875,0.10386097431182861,0.840660572052002,inf,1.4554914717775813,0.7067102,train
46,RRM2,0.20845365524291992,0.03190494183646424,41.56433165369202,0.085196614,2.04149,0.0027731657028198242,0.0027773380279541016,0.1530391275882721,inf,0.3270403663618135,0.023420973,train
47,CCDC86,0.21932904422283173,0.09589036031954028,74.22634275790759,0.4899363,5.88229,0.08071935176849365,0.0807490348815918,0.7504847645759583,inf,1.296398139454335,0.5632274,train
48,RBM14,0.23054423928260803,0.030029183297926827,44.33972190208182,0.064502746,1.9249326,0.0019805431365966797,0.0019813179969787598,0.1279938519001007,inf,0.29220856683339774,0.016382426,train
