,ptb,mmd,braycurtis,canberra,chebyshev,cityblock,correlation,cosine,euclidean,jensenshannon,minkowski_p1.5,sqeuclidean,mode
0,ARGLU1,0.2036948800086975,0.043056166781388384,49.66841384203927,0.5494202,3.185135,0.03550022840499878,0.03558480739593506,0.5689528584480286,inf,0.7392848981273173,0.32370734,train
1,CHEK1,0.19531545042991638,0.035310005859368575,39.55796986428564,0.85013884,2.6056657,0.08046430349349976,0.08044606447219849,0.8557319045066833,inf,0.937932417545982,0.7322771,train
2,BAP1,0.2084091454744339,0.028521491330787123,40.85813838175048,0.3149591,2.1167865,0.01173257827758789,0.011739969253540039,0.3306030035018921,inf,0.45459761054753267,0.10929835,train
3,CRNKL1,0.19522300362586975,0.03079748319562051,35.77156567002502,0.6939803,2.2793953,0.054044485092163086,0.05407977104187012,0.7006752490997314,inf,0.7816313429774714,0.49094585,train
4,COPA,0.20131590962409973,0.03621083182168416,41.850695258784874,0.8062265,2.6733267,0.07283669710159302,0.07282149791717529,0.8133661150932312,inf,0.9066379060591182,0.6615644,train
5,KPNB1,0.21007463335990906,0.03225272517019785,37.68327596816627,0.77442837,2.3838553,0.06700718402862549,0.06698304414749146,0.7797200679779053,inf,0.8559284721255865,0.60796344,train
6,EEF2,0.21556197106838226,0.036337566930591085,44.235677011627196,0.6298806,2.6907973,0.04594153165817261,0.045944929122924805,0.6461342573165894,inf,0.7710424705722849,0.4174894,train
7,RRP12,0.24439790844917297,0.03382274195565647,45.13557297402227,0.5764166,2.5041664,0.03781914710998535,0.037803590297698975,0.5862619280815125,inf,0.6955370191859892,0.34370315,train
8,RPL12,0.22888001799583435,0.03658114721350492,36.97273026618891,1.1259723,2.6938293,0.13679420948028564,0.1366308331489563,1.1295288801193237,inf,1.1923093831067895,1.2758359,train
9,PSMD1,0.19615203142166138,0.029148370110450867,39.38362439232942,0.50575763,2.1604626,0.02897953987121582,0.028968513011932373,0.5141821503639221,inf,0.6082383227534783,0.26438326,train
10,PRPF18,0.23181410133838654,0.03645660952964481,39.64923283741332,0.9450222,2.688574,0.0986972451210022,0.09860473871231079,0.9503397345542908,inf,1.0287617896367154,0.9031455,train
11,PHB2,0.3015633821487427,0.046180002242016675,37.49118276464132,1.7450895,3.4282813,0.28827452659606934,0.2877150774002075,1.7476634979248047,inf,1.8043152411664223,3.054328,train
12,COPS8,0.1993744671344757,0.03601149166954721,44.13576437615393,0.48201638,2.6686974,0.02730172872543335,0.02739882469177246,0.5002655386924744,inf,0.6433853133255281,0.25026563,train
13,EIF4G1,0.2196599841117859,0.030079248014681082,36.44474003159324,0.63108665,2.2293525,0.04475027322769165,0.04473137855529785,0.6373214721679688,inf,0.7185962616337647,0.4061786,train
14,SUPT6H,0.40151000022888184,0.04988099768344046,37.318487705563825,2.193779,3.7261603,0.3977571725845337,0.3968573808670044,2.1954829692840576,inf,2.239837075989289,4.8201447,train
15,BDP1,0.205145001411438,0.0330722616328168,37.36272026314342,0.8317208,2.4386208,0.0771784782409668,0.07712513208389282,0.8363977670669556,inf,0.9087434954530074,0.6995612,train
16,RPL21,0.23773624002933502,0.03209678236298759,37.67434456714638,0.5474222,2.3840106,0.03659290075302124,0.036671221256256104,0.5780609250068665,inf,0.7001867254615745,0.3341543,train
17,HSPA8,0.2037464827299118,0.03699781403268205,37.533038654702494,1.063175,2.7211943,0.12316477298736572,0.12304997444152832,1.0671294927597046,inf,1.1354239482280974,1.1387653,train
18,ABCF1,0.19446785748004913,0.035136666739736616,41.33987876893043,0.85415983,2.5941129,0.0811312198638916,0.08109509944915771,0.8597809672355652,inf,0.9412915860126356,0.7392235,train
19,XPO1,0.23899388313293457,0.04011660326892687,38.87917648016105,1.3054602,2.9626644,0.17875343561172485,0.17850613594055176,1.3088104724884033,inf,1.3718687994670755,1.7129848,train
20,SNRPB,0.2090744972229004,0.03510643280562467,37.49987467797792,0.94374245,2.586823,0.09829074144363403,0.09822672605514526,0.9480584263801575,inf,1.0188119590219393,0.8988148,train
21,WDR36,0.24164754152297974,0.028602397567310627,41.24173188365994,0.30455646,2.1287148,0.011617839336395264,0.011719226837158203,0.32911765575408936,inf,0.4623456482398502,0.10831844,train
22,NRDE2,0.2505943477153778,0.037300503015806556,36.832645739395446,1.1855395,2.7494202,0.15010219812393188,0.1499355435371399,1.1885896921157837,inf,1.247708731079269,1.4127458,train
23,POLR2B,0.2642238736152649,0.03870060812609909,39.995877776887184,0.97356623,2.8516207,0.1046629548072815,0.10457581281661987,0.9791682362556458,inf,1.06448856518885,0.95877033,train
24,SNAPC3,0.20264798402786255,0.03280725488321003,42.67605577581767,0.59506434,2.4311938,0.040129125118255615,0.040119051933288574,0.6038545966148376,inf,0.7055548685304789,0.36464038,train
25,RPL24,0.2552928626537323,0.029375820134785346,37.20097543086093,0.5967541,2.176291,0.04005700349807739,0.04003095626831055,0.6031589508056641,inf,0.6848850256330508,0.36380064,train
26,POLR2D,0.1992732286453247,0.031375642349977,32.17208024825802,0.90309656,2.3162215,0.0899888277053833,0.0899154543876648,0.9065369367599487,inf,0.9652841547276747,0.82180905,train
27,EXOSC2,0.2863144874572754,0.03916589787882228,40.79078745315023,1.1349437,2.8863091,0.13893330097198486,0.13877803087234497,1.139092206954956,inf,1.2111660015669579,1.2975309,train
28,RPS17,0.2008172869682312,0.03198813729659881,39.13439189271548,0.6262127,2.3726234,0.04443991184234619,0.04447275400161743,0.6356751322746277,inf,0.7324230773725043,0.40408286,train
29,NOL11,0.23527945578098297,0.03251186703857279,37.34768195240844,0.74395794,2.4048014,0.06190848350524902,0.06188124418258667,0.7496974468231201,inf,0.8300867901367267,0.5620463,train
30,RPL32,0.22745712101459503,0.027606976352853724,37.947008068692696,0.46339965,2.0518649,0.025204241275787354,0.025359630584716797,0.48150911927223206,inf,0.5825735292961673,0.23185101,train
31,DLD,0.24549461901187897,0.03309308478671275,36.59139410724882,0.8985717,2.4432008,0.08925992250442505,0.08920174837112427,0.902624249458313,inf,0.969143089746821,0.8147306,train
32,EIF3E,0.24235296249389648,0.026910905991050012,36.668543792245785,0.4499177,1.9994562,0.02288949489593506,0.022893011569976807,0.4579242765903473,inf,0.5464693670939963,0.20969461,train
33,WDR12,0.21738266944885254,0.026389871228627983,36.59288882512928,0.41544855,1.9583794,0.01963263750076294,0.019620060920715332,0.42463016510009766,inf,0.5174058742129339,0.18031077,train
34,SF3B3,0.21368229389190674,0.03700183574182956,40.236870741498706,1.0360692,2.723743,0.1172528862953186,0.11713963747024536,1.0402716398239136,inf,1.111177178721212,1.0821651,train
35,WDR3,0.2352619767189026,0.029336303996676562,36.09791401024285,0.54825073,2.1731353,0.033905863761901855,0.03391522169113159,0.5556418895721436,inf,0.6438395616422993,0.30873787,train
36,RPL11,0.2396160364151001,0.029959055223899432,37.15676148456289,0.59959817,2.220979,0.04051625728607178,0.0405539870262146,0.6069998145103455,inf,0.6941290744579884,0.36844873,train
37,RPA3,0.22534683346748352,0.03560179098625505,39.28941390807657,0.9339938,2.6262498,0.09629732370376587,0.09618949890136719,0.9386301636695862,inf,1.0127166404820331,0.8810264,train
38,CPSF3,0.23946335911750793,0.03621943777412679,39.03172713666825,0.9722551,2.669312,0.10410088300704956,0.10401856899261475,0.9768487811088562,inf,1.050875087215538,0.95423347,train
39,POLRMT,0.23227596282958984,0.034950105772504646,45.432120288604594,0.62298787,2.5844505,0.04417717456817627,0.04414010047912598,0.6328044533729553,inf,0.7431059198271199,0.4004415,train
40,YEATS4,0.20346319675445557,0.02763922866657772,41.87874204528694,0.077668786,2.0656369,0.0019434690475463867,0.0020551085472106934,0.1379510760307312,inf,0.3115395017567936,0.0190305,train
41,SON,0.24192321300506592,0.0362831106916913,33.659900961932124,1.1617465,2.6752443,0.1446375846862793,0.14450883865356445,1.1648095846176147,inf,1.222686633633998,1.3567814,train
42,RPL36,0.2800638675689697,0.03666121428523162,42.16100879468776,0.8679514,2.7084227,0.08381515741348267,0.08381354808807373,0.875033974647522,inf,0.9648845200589644,0.7656844,train
43,NCBP2,0.2276400923728943,0.03693124573924785,35.80540186257596,1.0798242,2.7207232,0.1266496777534485,0.12651336193084717,1.083670735359192,inf,1.1508029125788604,1.1743424,train
44,PRELID3B,0.2079124003648758,0.03978244992792691,39.12782121683384,1.1628716,2.9345994,0.1451340913772583,0.14499753713607788,1.1670883893966675,inf,1.240020441085771,1.3620954,train
45,RCC1,0.19850406050682068,0.028063470041741603,40.38668176471494,0.23787299,2.0881011,0.007211208343505859,0.0073087215423583984,0.26137685775756836,inf,0.4019684429047634,0.06831786,train
46,NLE1,0.22410517930984497,0.03407935887148468,38.858586258430265,0.766505,2.5222607,0.06610357761383057,0.06611800193786621,0.7751979827880859,inf,0.8656418384463439,0.60093176,train
47,DONSON,0.22514133155345917,0.03175498920502207,37.075264250800714,0.74292654,2.3467531,0.061669766902923584,0.06166946887969971,0.7481828331947327,inf,0.82443970126109,0.55977774,train
48,KRR1,0.23409974575042725,0.031184126158544403,40.545234892025576,0.55317724,2.3096807,0.034642696380615234,0.03466141223907471,0.5617055296897888,inf,0.659725852646216,0.31551307,train
49,RPL9,0.24905315041542053,0.030638285020493344,34.227631945902495,0.7074485,2.2654812,0.05607098340988159,0.05602031946182251,0.7126577496528625,inf,0.7871353749590985,0.50788087,train
50,SSRP1,0.2476804256439209,0.042861694877364256,40.776117038111074,1.3254237,3.1674266,0.18407458066940308,0.1838030219078064,1.3294110298156738,inf,1.4021352405385872,1.767334,train
51,PRPF6,0.20590044558048248,0.034655032926599244,41.053798552841286,0.8696022,2.5608044,0.0838613510131836,0.08382594585418701,0.8752182722091675,inf,0.9534936437864192,0.76600724,train
52,HARS,0.2940572500228882,0.04589170662926556,40.575921755989725,1.6384587,3.4020882,0.2616051435470581,0.26112598180770874,1.6413742303848267,inf,1.7028712925707712,2.6941094,train
53,FTSJ3,0.22536662220954895,0.03677182627023167,38.111517259586165,1.0347413,2.7003121,0.11736530065536499,0.11724919080734253,1.0390676259994507,inf,1.1102510170696305,1.0796614,train
54,MED19,0.3316604197025299,0.05096732310632478,46.06980857937924,1.8310823,3.7845101,0.3102913498878479,0.30967503786087036,1.8341928720474243,inf,1.9013049556340131,3.364263,train
